wbs,task_title,task_owner,category,phase,status,budget_original,budget_change,budget_revised,spend,remaining,forecast,variance,src_row
5.2,Engineering diagnosis to apply reversion of Patrimony areas to Muni ( to apply later for concessions ),Eduardo consultant,Concessions,SETENA Regional Review,In process,9943.999999999998,0.0,9943.999999999998,0.0,9943.999999999998,9944.0,0.0,78
5.3,Application/ project description for PNE MINAET,Eduardo,Concessions,SETENA Regional Review,Approved,15876.499999999998,0.0,15876.499999999998,0.0,15876.499999999998,15876.499999999998,0.0,79
5.4,Survey new plans - Adjust to Government Regs,Surveyor,Concessions,SETENA Regional Review,Approved,72207.0,0.0,72207.0,0.0,72207.0,72207.0,0.0,80
5.5,Create Draft Plans for Development,Randall,Concessions,SETENA Regional Review,Approved,30000.0,0.0,30000.0,0.0,30000.0,30000.0,0.0,81
5.6,Legal Expenses - Concession MUNI,Herbet,Concessions,SETENA Regional Review,In process,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0,82
5.7,Legal Expenses - Land Use SINAC,Eduardo,Concessions,SETENA Regional Review,Approved,50000.0,0.0,50000.0,0.0,50000.0,50000.0,0.0,83
5.8,Legal Expenses - Land Use Concessions (ALTA BATALLA)},Roberto,Concessions,SETENA Regional Review,In process,14500.0,,14500.0,0.0,14500.0,14500.0,0.0,84
6.1,Trim Trees to See View,Tree Man Co.,Overhead,PROPERTY,Approved,7500.0,0.0,7500.0,0.0,7500.0,7500.0,0.0,87
6.2,Survey Water Easement and Register,Marvin,Overhead,PROPERTY,Approved,7500.0,5450.0,12950.0,10450.0,2500.0,12950.0,0.0,88
6.3,Cut Driveway and Building Pad + Gravel + Culverts,Sibaja,Overhead,PROPERTY,Approved,20000.0,20000.0,40000.0,17583.15,22416.85,40000.0,0.0,89
6.4,Closing Costs,Karol,Overhead,PROPERTY,Approved,48000.0,0.0,48000.0,0.0,48000.0,48000.0,0.0,90
6,Property Sale,Karol,Overhead,PROPERTY,,-480000.0,0.0,-480000.0,,-480000.0,0.0,480000.0,92
9,CFIA/APC Construction Permitting (Infrastructure),,,,,,,,,,,,94
9.1.1,Phase 1/2/3 Pre Consultations,DEHC,CFIA Infrastructure,Phase 1,In process,0.0,5423.999999999999,5423.999999999999,7344.999999999999,-1921.0,5423.999999999999,0.0,95
9.1.2,Phase 1/2/3 Discharge permit MOPT and Municipality,DEHC,CFIA Infrastructure,Phase 2,In process,,1355.9999999999998,1355.9999999999998,2033.9999999999998,-678.0,1355.9999999999998,0.0,96
9.1.3,Phase 1 Permit (Includes topo of the existing road),DEHC,CFIA Infrastructure,Phase 1,Approved,,16385.0,16385.0,16385.0,0.0,16385.0,0.0,97
9.2.1,Phase 2 Permit,DEHC,CFIA Infrastructure,Phase 2,Approved,,8814.0,8814.0,0.0,8814.0,8814.0,0.0,98
9.3.1,Phase 3 Permit,DEHC,CFIA Infrastructure,Phase 3,Approved,,1355.9999999999998,1355.9999999999998,0.0,1355.9999999999998,1355.9999999999998,0.0,99
Other Items,,,,,,,,,,,,,104
Project Estimate:,10000000,,,,,,,,,,,,105
7,Items for Conveyance,,,,,,,,,,,,106
7.1,Project information,Blake,,,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
7.2,Plan and approval of the two condominiums,Blake,CFIA Infrastructure,Phase 3,Approved,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
7.3,Cadastre Plan (only when we want to convey),Surveyor,CFIA Infrastructure,Phase 3,Approved,102162.45,0.0,102162.45,0.0,102162.45,102162.45,0.0,109
7.4,CFIA  (1%) - Whole Project,Blake,CFIA Infrastructure,Phase 3,Approved,265000.0,0.0,265000.0,0.0,265000.0,265000.0,0.0,110
7.5,INS (1.298%) - Phase Only,Blake,CFIA Infrastructure,Phase 3,Approved,129800.0,0.0,129800.0,0.0,129800.0,129800.0,0.0,111
7.6,SETENA Bond (1.5% Value) - Phase Only,Partnership,CFIA Infrastructure,Phase 3,Approved,300000.0,0.0,300000.0,0.0,300000.0,300000.0,0.0,112
7.7,Municipality (1%) - Phase Only,Permit Engineer,CFIA Infrastructure,Phase 3,Approved,100000.0,0.0,100000.0,0.0,100000.0,100000.0,0.0,113
8,Internal Bonuses,,,,,,,,,,,,116
8.1,Water Department Negotiations,Blake,Setena D1,Phase 1,Approved,28249.999999999996,0.0,28249.999999999996,0.0,28249.999999999996,28249.999999999996,0.0,117
8.2,SETENA (VA) Approval,Blake,Setena D1,Phase 1,Approved,42374.99999999999,0.0,42374.99999999999,0.0,42374.99999999999,42375.0,0.0,118
8.3,Finalize Creation of Concessions,Blake,Concessions,,Approved,42374.99999999999,0.0,42374.99999999999,0.0,42374.99999999999,42375.0,0.0,119
