id,wbs,week_start,planned_amount,is_painted,fill_rgb,src_col
187,0.3.1,2024-11-24,27636.1,0,,AB
188,0.3.1,2026-03-23,,1,FFFFFF00,CQ
189,0.4,2025-12-28,64250.0,0,,CC
190,0.4,2026-01-26,3750.0,0,,CG
191,0.4,2026-02-23,3750.0,0,,CL
192,0.4,2026-03-23,3750.0,1,FFFFFF00,CQ
193,0.4,2026-04-27,3750.0,0,,CV
194,0.4,2026-05-25,3750.0,0,,DA
195,0.4,2026-06-22,3750.0,0,,DF
196,0.4,2026-07-27,3750.0,0,,DK
197,0.4,2026-08-24,3750.0,0,,DP
198,0.4,2026-09-28,3250.0,0,,DU
199,0.4,2026-10-26,3750.0,0,,DZ
200,0.4,2026-11-23,3750.0,0,,EE
201,0.4,2026-12-28,3750.0,0,,EJ
202,0.5,2024-12-22,3000.0,0,,AF
203,0.5,2025-03-23,3000.0,0,,AS
204,0.5,2025-06-22,3000.0,0,,BE
205,0.5,2025-09-28,3000.0,0,,BQ
206,0.5,2025-12-28,3000.0,0,,CC
207,0.5,2026-03-23,,1,FFFFFF00,CQ
208,0.6.1,2025-12-28,20437.88,0,,CC
209,0.6.1,2026-01-26,1824.71,0,,CG
210,0.6.1,2026-02-23,1824.71,0,,CL
211,0.6.1,2026-03-23,1824.71,1,FFFFFF00,CQ
212,0.6.1,2026-04-27,1824.71,0,,CV
213,0.6.1,2026-05-25,1824.71,0,,DA
214,0.6.1,2026-06-22,1824.71,0,,DF
215,0.6.1,2026-07-27,1824.71,0,,DK
216,0.6.1,2026-08-24,1824.71,0,,DP
217,0.6.1,2026-09-28,1824.71,0,,DU
218,0.6.1,2026-10-26,1824.71,0,,DZ
219,0.6.1,2026-11-23,1824.71,0,,EE
220,0.6.1,2026-12-28,1824.71,0,,EJ
221,0.6.2,2025-12-28,9569.41,0,,CC
222,0.6.2,2026-01-26,1000.0,0,,CG
223,0.6.2,2026-02-23,1000.0,0,,CL
224,0.6.2,2026-03-23,1000.0,1,FFFFFF00,CQ
225,0.6.2,2026-04-27,1000.0,0,,CV
226,0.6.2,2026-05-25,1000.0,0,,DA
227,0.6.2,2026-06-22,1000.0,0,,DF
228,0.6.2,2026-07-27,1000.0,0,,DK
229,0.6.2,2026-08-24,600.0,0,,DP
230,0.6.2,2026-09-28,1000.0,0,,DU
231,0.6.2,2026-10-26,1000.0,0,,DZ
232,0.6.2,2026-11-23,1000.0,0,,EE
233,0.6.2,2026-12-28,1000.0,0,,EJ
234,0.6.3,2025-12-28,2400.0,0,,CC
235,0.6.3,2026-01-26,1392.3550000000005,0,,CG
236,0.6.3,2026-02-23,1412.3550000000005,0,,CL
237,0.6.3,2026-03-23,1412.3550000000005,1,FFFFFF00,CQ
238,0.6.3,2026-04-27,1412.3550000000005,0,,CV
239,0.6.3,2026-05-25,1412.3550000000005,0,,DA
240,0.6.3,2026-06-22,1412.3550000000005,0,,DF
241,0.6.3,2026-07-27,1412.3550000000005,0,,DK
242,0.6.3,2026-08-24,1212.355,0,,DP
243,0.6.3,2026-09-28,1412.3550000000005,0,,DU
244,0.6.3,2026-10-26,1412.3550000000005,0,,DZ
245,0.6.3,2026-11-23,1412.3550000000005,0,,EE
246,0.6.3,2026-12-21,1671.74,0,,EI
247,0.6.3,2026-12-28,1412.3550000000005,0,,EJ
248,0.6.4,2024-12-15,20000.0,0,,AE
249,0.6.4,2026-03-23,,1,FFFFFF00,CQ
250,0.6.4,2026-05-04,2500.0,0,,CW
251,0.6.4,2026-05-11,29998.0,0,,CY
252,0.6.4,2026-06-22,2500.0,0,,DF
253,0.6.4,2026-09-28,2500.0,0,,DU
254,0.6.5,2026-03-23,,1,FFFFFF00,CQ
255,0.6.5,2026-05-11,13000.0,0,,CY
256,0.6.5,2026-12-28,8000.0,0,,EJ
257,0.7,2024-11-24,42375.0,0,,AB
258,0.7,2024-12-22,14124.999999999998,0,,AF
259,0.7,2025-01-26,14124.999999999998,0,,AK
260,0.7,2025-02-23,14124.999999999998,0,,AO
261,0.7,2025-03-23,14124.999999999998,0,,AS
262,0.7,2025-04-27,14124.999999999998,0,,AW
263,0.7,2025-05-25,14124.999999999998,0,,BA
264,0.7,2025-06-22,14124.999999999998,0,,BE
265,0.7,2025-07-27,14124.999999999998,0,,BI
266,0.7,2025-08-24,14124.999999999998,0,,BM
267,0.7,2025-09-28,14124.999999999998,0,,BQ
268,0.7,2025-10-26,14124.999999999998,0,,BU
269,0.7,2025-11-23,14124.999999999998,0,,BY
270,0.7,2025-12-28,14124.999999999998,0,,CC
271,0.7,2026-01-26,14124.999999999998,0,,CG
272,0.7,2026-02-23,14124.999999999998,0,,CL
273,0.7,2026-03-23,14124.999999999998,1,FFFFFF00,CQ
274,0.7,2026-04-27,14124.999999999998,0,,CV
275,0.7,2026-05-25,14124.999999999998,0,,DA
276,0.7,2026-06-22,14124.999999999998,0,,DF
277,0.7,2026-07-27,14124.999999999998,0,,DK
278,0.7,2026-08-24,14124.999999999998,0,,DP
279,0.7,2026-09-28,14124.999999999998,0,,DU
280,0.7,2026-10-26,14124.999999999998,0,,DZ
281,0.7,2026-11-23,14124.999999999998,0,,EE
282,0.7,2026-12-28,14124.999999999998,0,,EJ
283,0.8,2026-04-06,30000.0,0,,CS
284,0.9,2025-12-28,14639.8,0,,CC
285,0.9,2026-02-23,2000.0,0,,CL
286,0.9,2026-05-25,2000.0,0,,DA
287,0.9,2026-08-24,2000.0,0,,DP
288,0.9,2026-10-05,31840.2,0,,DW
289,0.911,2024-11-24,6000.0,0,,AB
290,1,2024-10-06,,1,FFCCCCCC,U
291,1,2024-10-13,,1,FFCCCCCC,V
292,1,2024-10-20,,1,FFCCCCCC,W
293,1,2024-10-27,,1,FFCCCCCC,X
294,1,2024-11-03,,1,FFCCCCCC,Y
295,1,2024-11-10,,1,FFCCCCCC,Z
296,1,2024-11-17,,1,FFCCCCCC,AA
297,1,2024-11-24,,1,FFCCCCCC,AB
298,1,2024-12-01,,1,FFCCCCCC,AC
299,1,2024-12-08,,1,FFCCCCCC,AD
300,1,2024-12-15,,1,FFCCCCCC,AE
301,1,2024-12-22,,1,FFCCCCCC,AF
302,1,2025-12-22,,1,FFCCCCCC,AG
303,1,2025-01-05,,1,FFCCCCCC,AH
304,1,2025-01-12,,1,FFCCCCCC,AI
305,1,2025-01-19,,1,FFCCCCCC,AJ
306,1,2025-01-26,,1,FFCCCCCC,AK
307,1,2025-02-02,,1,FFCCCCCC,AL
308,1,2025-02-09,,1,FFCCCCCC,AM
309,1,2025-02-16,,1,FFCCCCCC,AN
310,1,2025-02-23,,1,FFCCCCCC,AO
311,1,2025-03-02,,1,FFCCCCCC,AP
312,1,2025-03-09,,1,FFCCCCCC,AQ
313,1,2025-03-16,,1,FFCCCCCC,AR
314,1,2025-03-23,,1,FFCCCCCC,AS
315,1,2025-04-06,,1,FFCCCCCC,AT
316,1,2025-04-13,,1,FFCCCCCC,AU
317,1,2025-04-20,,1,FFCCCCCC,AV
318,1,2025-04-27,,1,FFCCCCCC,AW
319,1,2025-05-04,,1,FFCCCCCC,AX
320,1,2025-05-11,,1,FFCCCCCC,AY
321,1,2025-05-18,,1,FFCCCCCC,AZ
322,1,2025-05-25,,1,FFCCCCCC,BA
323,1,2025-06-01,,1,FFCCCCCC,BB
324,1,2025-06-08,,1,FFCCCCCC,BC
325,1,2025-06-15,,1,FFCCCCCC,BD
326,1,2025-06-22,,1,FFCCCCCC,BE
327,1,2025-07-06,,1,FFCCCCCC,BF
328,1,2025-07-13,,1,FFCCCCCC,BG
329,1,2025-07-20,,1,FFCCCCCC,BH
330,1,2025-07-27,,1,FFCCCCCC,BI
331,1,2025-08-03,,1,FFCCCCCC,BJ
332,1,2025-08-10,,1,FFCCCCCC,BK
333,1,2025-08-17,,1,FFCCCCCC,BL
334,1,2025-08-24,,1,FFCCCCCC,BM
335,1,2025-09-07,,1,FFCCCCCC,BN
336,1,2025-09-14,,1,FFCCCCCC,BO
337,1,2025-09-21,,1,FFCCCCCC,BP
338,1,2025-09-28,,1,FFCCCCCC,BQ
339,1,2025-10-05,,1,FFCCCCCC,BR
340,1,2025-10-12,,1,FFCCCCCC,BS
341,1,2025-10-19,,1,FFCCCCCC,BT
342,1,2025-10-26,,1,FFCCCCCC,BU
343,1,2025-11-02,,1,FFCCCCCC,BV
344,1,2025-11-09,,1,FFCCCCCC,BW
345,1,2025-11-16,,1,FFCCCCCC,BX
346,1,2025-11-23,,1,FFCCCCCC,BY
347,1,2025-12-07,,1,FFCCCCCC,BZ
348,1,2025-12-14,,1,FFCCCCCC,CA
349,1,2025-12-21,,1,FFCCCCCC,CB
350,1,2025-12-28,,1,FFCCCCCC,CC
351,1,2026-01-05,,1,FFCCCCCC,CD
352,1,2026-01-12,,1,FFCCCCCC,CE
353,1,2026-01-19,,1,FFCCCCCC,CF
354,1,2026-01-26,,1,FFCCCCCC,CG
355,1,2026-02-02,,1,FFCCCCCC,CI
356,1,2026-02-09,,1,FFCCCCCC,CJ
357,1,2026-02-16,,1,FFCCCCCC,CK
358,1,2026-02-23,,1,FFCCCCCC,CL
